iter	Passed	Remaining
650	1538	824
651	1539	821
652	1541	818
653	1542	816
654	1543	813
655	1547	811
656	1549	809
657	1550	806
658	1552	803
659	1553	800
660	1555	797
661	1556	794
662	1558	791
663	1560	789
664	1561	786
665	1563	783
666	1564	781
667	1566	778
668	1568	775
669	1569	772
670	1573	771
671	1576	769
672	1580	767
673	1582	765
674	1585	763
675	1589	761
676	1594	760
677	1598	758
678	1601	757
679	1602	754
680	1604	751
681	1607	749
682	1609	746
683	1610	744
684	1612	741
685	1613	738
686	1615	735
687	1616	733
688	1618	730
689	1620	728
690	1622	725
691	1624	722
692	1625	720
693	1628	717
694	1629	715
695	1631	712
696	1632	709
697	1634	707
698	1635	704
699	1639	702
700	1644	701
701	1647	699
702	1651	697
703	1653	695
704	1656	693
705	1658	690
706	1660	688
707	1663	686
708	1665	683
709	1667	681
710	1669	678
711	1670	675
712	1672	673
713	1673	670
714	1675	667
715	1676	665
716	1678	662
717	1679	659
718	1681	657
719	1683	654
720	1684	651
721	1686	649
722	1687	646
723	1689	644
724	1691	641
725	1692	638
726	1694	636
727	1697	634
728	1699	631
729	1701	629
730	1703	626
731	1704	624
732	1706	621
733	1707	618
734	1709	616
735	1711	613
736	1712	611
737	1714	608
738	1715	606
739	1717	603
740	1719	600
741	1720	598
742	1722	595
743	1723	593
744	1725	590
745	1727	588
746	1729	585
747	1731	583
748	1734	581
749	1736	578
750	1738	576
751	1740	574
752	1742	571
753	1744	569
754	1746	566
755	1747	564
756	1748	561
757	1750	558
758	1751	556
759	1753	553
760	1755	551
761	1756	548
762	1759	546
763	1761	544
764	1764	542
765	1768	540
766	1770	537
767	1772	535
768	1774	533
769	1776	530
770	1777	528
771	1779	525
772	1781	523
773	1782	520
774	1784	518
775	1785	515
776	1787	513
777	1789	510
778	1792	508
779	1793	505
780	1795	503
781	1797	501
782	1798	498
783	1801	496
784	1803	493
785	1804	491
786	1806	488
787	1807	486
788	1809	483
789	1810	481
790	1812	478
791	1813	476
792	1815	473
793	1816	471
794	1817	468
795	1819	466
796	1820	463
797	1822	461
798	1823	458
799	1825	456
800	1826	453
801	1828	451
802	1829	448
803	1830	446
804	1832	443
805	1834	441
806	1835	439
807	1836	436
808	1838	434
809	1840	431
810	1842	429
811	1844	427
812	1846	424
813	1848	422
814	1849	419
815	1851	417
816	1853	415
817	1854	412
818	1856	410
819	1857	407
820	1860	405
821	1861	403
822	1863	400
823	1865	398
824	1866	396
825	1868	393
826	1870	391
827	1871	388
828	1873	386
829	1875	384
830	1877	381
831	1878	379
832	1880	376
833	1882	374
834	1883	372
835	1884	369
836	1886	367
837	1888	365
838	1890	362
839	1891	360
840	1893	357
841	1894	355
842	1897	353
843	1899	351
844	1901	348
845	1903	346
846	1905	344
847	1906	341
848	1908	339
849	1910	337
850	1912	334
851	1913	332
852	1915	330
853	1916	327
854	1918	325
855	1919	322
856	1921	320
857	1922	318
858	1925	316
859	1927	313
860	1928	311
861	1930	309
862	1931	306
863	1932	304
864	1934	301
865	1935	299
866	1936	297
867	1938	294
868	1939	292
869	1941	290
870	1943	287
871	1945	285
872	1947	283
873	1950	281
874	1953	279
875	1955	276
876	1957	274
877	1958	272
878	1959	269
879	1961	267
880	1963	265
881	1964	262
882	1967	260
883	1969	258
884	1971	256
885	1972	253
886	1974	251
887	1976	249
888	1978	246
889	1979	244
890	1981	242
891	1983	240
892	1985	237
893	1987	235
894	1990	233
895	1992	231
896	1993	228
897	1995	226
898	1996	224
899	1998	222
900	1999	219
901	2002	217
902	2005	215
903	2007	213
904	2009	210
905	2011	208
906	2013	206
907	2014	204
908	2016	201
909	2018	199
910	2020	197
911	2022	195
912	2024	192
913	2025	190
914	2030	188
915	2032	186
916	2036	184
917	2038	182
918	2040	179
919	2042	177
920	2046	175
921	2048	173
922	2050	171
923	2052	168
924	2056	166
925	2060	164
926	2062	162
927	2065	160
928	2067	157
929	2068	155
930	2070	153
931	2072	151
932	2074	148
933	2076	146
934	2078	144
935	2079	142
936	2081	139
937	2088	138
938	2099	136
939	2102	134
940	2104	131
941	2106	129
942	2108	127
943	2114	125
944	2117	123
945	2119	120
946	2121	118
947	2122	116
948	2124	114
949	2126	111
950	2128	109
951	2130	107
952	2132	105
953	2134	102
954	2136	100
955	2138	98
956	2140	96
957	2143	93
958	2147	91
959	2151	89
960	2155	87
961	2157	85
962	2159	82
963	2161	80
964	2162	78
965	2164	76
966	2166	73
967	2168	71
968	2169	69
969	2172	67
970	2175	64
971	2178	62
972	2179	60
973	2181	58
974	2183	55
975	2185	53
976	2187	51
977	2189	49
978	2191	47
979	2193	44
980	2195	42
981	2196	40
982	2198	38
983	2201	35
984	2205	33
985	2208	31
986	2209	29
987	2211	26
988	2213	24
989	2215	22
990	2217	20
991	2219	17
992	2221	15
993	2223	13
994	2225	11
995	2226	8
996	2229	6
997	2231	4
998	2234	2
999	2237	0
